age,income,credit_score,employment_type,default
18,66533.46,625,Salaried,0
68,67622.39,750,Salaried,0
62,37518.36,642,Salaried,1
30,70779.26,676,Self-Employed,0
21,40315.67,755,Salaried,0
18,67160.55,736,Salaried,0
66,63027.6,619,Salaried,0
57,67279.46,783,Salaried,0
49,36924.95,810,Salaried,0
51,63818.95,839,Self-Employed,0
45,71283.91,638,Salaried,0
48,57900.94,778,Salaried,0
25,42720.75,611,Self-Employed,1
56,68796.21,806,Salaried,0
43,56708.79,822,Salaried,0
51,29883.34,782,Salaried,1
20,41557.16,805,Salaried,0
67,47105.58,610,Salaried,1
29,77587.27,753,Salaried,0
18,74952.75,641,Self-Employed,0
61,74904.53,754,Unemployed,0
22,58485.4,610,Salaried,0
47,68703.92,637,Salaried,0
47,37888.31,697,Salaried,1
34,55102.05,770,Self-Employed,0
65,61774.49,618,Salaried,0
64,38876.51,791,Salaried,0
40,58148.68,733,Self-Employed,0
32,80299.59,773,Self-Employed,0
54,63381.55,715,Self-Employed,0
38,68763.18,829,Salaried,0
31,18213.9,712,Self-Employed,1
19,78369.53,769,Self-Employed,0
28,52208.16,819,Salaried,0
68,43469.71,664,Salaried,1
56,52380.43,698,Salaried,0
55,32724.67,831,Unemployed,0
51,70719.13,671,Salaried,0
55,49969.06,786,Salaried,0
67,43920.54,651,Salaried,0
51,52479.17,717,Self-Employed,0
35,71770.23,774,Salaried,0
47,56971.88,719,Salaried,0
32,33854.59,606,Salaried,1
44,61974.71,610,Self-Employed,0
68,41065.3,702,Salaried,0
51,22658.48,660,Salaried,1
69,77440.11,667,Self-Employed,0
55,61858.45,752,Salaried,0
50,53825.94,739,Self-Employed,0
41,49815.86,753,Salaried,0
32,75956.19,701,Salaried,0
47,101307.33,709,Salaried,0
59,61731.71,739,Salaried,0
68,39555.48,770,Salaried,0
34,52683.02,650,Salaried,0
22,61458.59,716,Self-Employed,0
46,19757.08,764,Salaried,1
21,60017.49,645,Salaried,0
27,61546.38,652,Salaried,0
34,74895.13,687,Unemployed,0
27,73331.85,807,Salaried,0
34,56667.58,720,Salaried,0
37,77719.55,612,Salaried,0
41,85535.17,688,Salaried,0
22,55419.27,724,Salaried,0
51,61272.81,717,Self-Employed,0
23,28490.54,653,Salaried,1
19,33235.4,784,Self-Employed,1
30,42427.06,715,Salaried,0
60,48345.73,717,Salaried,0
60,38558.15,603,Self-Employed,1
65,54460.07,674,Salaried,0
28,48794.36,823,Unemployed,0
68,71063.43,648,Salaried,0
64,47878.4,606,Self-Employed,1
40,20699.23,709,Salaried,1
33,56886.27,721,Salaried,0
48,54787.03,610,Salaried,0
28,42069.25,691,Salaried,1
33,56425.0,781,Salaried,0
25,38871.03,832,Salaried,0
21,59947.6,814,Salaried,0
57,94493.87,772,Salaried,0
21,27915.92,622,Self-Employed,1
42,47256.37,841,Salaried,0
20,44852.42,627,Salaried,1
49,48501.1,834,Salaried,0
20,70298.87,710,Salaried,0
44,63142.4,656,Salaried,0
46,67731.5,625,Salaried,0
49,55457.43,752,Self-Employed,0
67,35168.51,653,Self-Employed,1
68,38279.72,628,Salaried,1
36,66193.9,810,Salaried,0
38,57562.48,696,Salaried,0
22,73903.11,763,Salaried,0
35,59398.93,613,Salaried,0
45,37254.78,677,Salaried,1
59,47171.47,634,Salaried,1
39,63472.21,629,Salaried,0
38,65654.99,691,Salaried,0
23,67826.63,616,Self-Employed,0
18,39272.14,794,Salaried,0
22,36984.55,807,Self-Employed,0
58,52152.96,837,Unemployed,0
29,76601.1,757,Salaried,0
43,44591.98,843,Salaried,0
63,61824.58,692,Salaried,0
51,61825.92,772,Unemployed,0
66,66411.59,678,Unemployed,0
31,79966.6,709,Salaried,0
43,78428.6,847,Salaried,0
62,46080.91,816,Self-Employed,0
44,23531.57,778,Salaried,1
26,44822.06,701,Self-Employed,0
43,56135.08,705,Self-Employed,0
64,49575.32,646,Salaried,0
39,84518.48,780,Salaried,0
64,55281.7,663,Salaried,0
47,64805.68,845,Salaried,0
60,58258.21,843,Salaried,0
65,49800.5,849,Self-Employed,0
34,26127.82,765,Self-Employed,1
43,53820.74,663,Self-Employed,0
53,103819.71,686,Salaried,0
18,36333.12,816,Self-Employed,0
25,27776.9,833,Self-Employed,0
66,84045.84,606,Salaried,0
52,66131.24,621,Salaried,0
69,57811.3,680,Salaried,0
32,75440.11,809,Self-Employed,0
64,42527.47,840,Salaried,0
39,53401.08,768,Self-Employed,0
31,69327.31,673,Salaried,0
43,86655.32,737,Self-Employed,0
45,37471.84,784,Salaried,0
40,74211.02,734,Salaried,0
31,60727.59,839,Salaried,0
41,57445.92,724,Salaried,0
19,54884.06,649,Self-Employed,0
62,34230.3,829,Salaried,0
43,69446.33,818,Salaried,0
31,43265.96,651,Salaried,0
68,38804.64,760,Salaried,1
24,68281.88,600,Salaried,0
20,66837.01,835,Salaried,0
64,56185.0,780,Self-Employed,0
40,71193.15,787,Salaried,0
63,76389.05,761,Self-Employed,0
60,74623.36,603,Unemployed,0
64,47075.82,744,Salaried,0
62,70211.57,731,Salaried,0
35,58174.61,770,Salaried,0
55,80888.62,845,Unemployed,0
52,53144.07,817,Self-Employed,0
68,49652.93,603,Salaried,1
32,45793.05,600,Self-Employed,1
42,57839.32,670,Salaried,0
54,62000.88,821,Unemployed,0
45,62289.43,777,Unemployed,0
27,60237.59,800,Salaried,0
56,65065.56,788,Salaried,0
34,51661.87,634,Salaried,0
56,41912.27,607,Salaried,1
39,40602.58,751,Self-Employed,0
43,69625.77,810,Salaried,0
61,62054.83,635,Salaried,0
42,27162.43,777,Salaried,1
34,71451.3,843,Unemployed,0
30,83206.53,722,Salaried,0
37,44261.25,642,Salaried,1
42,60042.4,626,Salaried,0
21,47898.13,631,Unemployed,1
27,64424.6,677,Self-Employed,0
20,37509.87,720,Salaried,0
58,53928.32,745,Salaried,0
62,69719.71,755,Salaried,0
35,73535.68,756,Salaried,0
64,61397.44,615,Salaried,0
53,49914.32,698,Self-Employed,0
64,31110.98,646,Salaried,1
39,43636.75,786,Self-Employed,0
51,47960.9,630,Salaried,0
64,44533.99,603,Self-Employed,1
25,55893.29,764,Self-Employed,0
57,49871.68,616,Salaried,1
66,57581.82,638,Salaried,0
61,73039.41,647,Salaried,0
36,48903.07,773,Salaried,0
59,34257.0,817,Salaried,0
58,44474.39,775,Salaried,0
54,63753.83,638,Unemployed,0
23,65169.16,832,Salaried,0
69,61091.28,731,Self-Employed,0
43,74511.06,629,Salaried,0
51,52204.55,757,Self-Employed,0
62,85782.49,621,Salaried,0
23,67272.81,802,Self-Employed,0
54,17147.69,665,Salaried,1
50,82009.88,707,Salaried,0
39,43495.2,611,Salaried,1
38,39488.48,821,Salaried,0
23,62856.57,635,Salaried,0
23,28927.29,617,Salaried,1
65,44567.96,689,Salaried,0
21,78356.48,780,Self-Employed,0
47,63343.26,798,Salaried,0
28,67183.6,600,Salaried,0
47,45146.34,726,Self-Employed,0
48,31924.45,785,Salaried,0
41,65602.26,689,Salaried,0
26,68953.84,686,Salaried,0
20,68274.9,689,Unemployed,0
68,58136.04,836,Self-Employed,0
48,40493.98,733,Self-Employed,0
57,91566.54,669,Salaried,0
54,62196.81,643,Self-Employed,0
53,52391.7,799,Salaried,0
41,52458.26,751,Salaried,0
48,57243.96,685,Salaried,0
23,71044.12,618,Salaried,0
19,57844.42,700,Salaried,0
37,67877.7,745,Salaried,0
45,57270.97,694,Salaried,0
28,53314.69,700,Salaried,0
21,64618.76,629,Self-Employed,0
32,64049.29,848,Salaried,0
23,52455.49,769,Self-Employed,0
66,43761.9,632,Salaried,1
47,60125.93,801,Self-Employed,0
55,56175.23,828,Salaried,0
68,46676.92,611,Salaried,1
19,42363.99,717,Salaried,0
32,61157.14,693,Salaried,0
28,63251.43,754,Self-Employed,0
25,49599.52,766,Salaried,0
43,46300.94,736,Salaried,0
68,42546.17,845,Self-Employed,0
62,60733.82,748,Salaried,0
61,42940.34,675,Salaried,0
22,88617.02,846,Salaried,0
23,48845.78,628,Salaried,1
43,18621.79,760,Salaried,1
21,54547.43,834,Salaried,0
36,53904.5,789,Unemployed,0
37,71675.78,716,Salaried,0
50,59321.89,614,Salaried,0
37,42492.47,601,Salaried,1
66,50704.12,779,Self-Employed,0
29,59911.3,830,Self-Employed,0
64,22529.29,716,Salaried,1
18,75079.33,771,Self-Employed,0
43,42532.45,781,Salaried,1
31,76255.66,617,Salaried,0
55,60886.98,602,Salaried,0
54,64443.91,734,Salaried,0
28,72241.35,770,Salaried,0
53,63596.98,809,Self-Employed,0
30,65093.29,835,Salaried,0
60,52533.75,765,Unemployed,0
20,60582.53,764,Salaried,0
50,46187.53,785,Salaried,0
23,49848.83,760,Salaried,0
67,84470.43,707,Salaried,0
27,42877.1,786,Salaried,0
22,57314.76,694,Salaried,0
40,56702.04,721,Salaried,0
27,50338.68,610,Salaried,1
61,62716.01,667,Self-Employed,0
19,63845.83,722,Salaried,0
30,41112.71,809,Salaried,0
57,56520.35,795,Salaried,0
19,38764.49,712,Self-Employed,1
37,66828.23,697,Self-Employed,0
18,57647.31,692,Salaried,0
54,56234.95,815,Salaried,0
26,64885.47,621,Salaried,0
34,50867.35,793,Unemployed,0
26,68710.33,771,Salaried,0
28,40773.33,726,Salaried,1
32,76178.15,733,Salaried,0
41,46736.33,769,Salaried,0
55,29557.31,624,Unemployed,1
52,50071.98,846,Salaried,0
47,48370.48,784,Salaried,0
48,49958.89,684,Salaried,0
66,58474.72,654,Self-Employed,0
22,71467.64,743,Self-Employed,0
61,52124.41,694,Salaried,0
67,44625.74,741,Salaried,0
31,38101.8,766,Self-Employed,1
28,47977.26,755,Salaried,0
26,26682.63,823,Salaried,0
51,44123.0,819,Salaried,0
29,73660.81,778,Unemployed,0
52,42649.61,718,Salaried,1
52,64430.74,776,Self-Employed,0
18,36602.77,608,Salaried,1
57,81566.44,785,Salaried,0
39,82564.1,772,Salaried,0
46,63865.32,749,Salaried,0
25,84868.79,759,Salaried,0
28,60336.89,796,Salaried,0
58,66527.76,814,Salaried,0
54,73929.01,796,Self-Employed,0
31,57695.78,641,Unemployed,0
47,31714.34,652,Salaried,1
52,66834.45,823,Salaried,0
38,47922.11,786,Salaried,0
54,49037.05,673,Salaried,0
22,59468.42,638,Self-Employed,0
36,63494.21,721,Salaried,0
31,57252.02,614,Salaried,0
43,64535.94,798,Self-Employed,0
21,44397.14,756,Salaried,0
42,54359.44,722,Salaried,0
62,67736.28,710,Salaried,0
59,81591.87,730,Salaried,0
42,86896.53,682,Salaried,0
35,61494.65,609,Self-Employed,0
57,67600.15,691,Self-Employed,0
25,84723.69,628,Salaried,0
56,44937.46,806,Self-Employed,0
57,64445.5,634,Salaried,0
31,66525.14,605,Self-Employed,0
49,76717.92,739,Salaried,0
68,37942.88,710,Self-Employed,1
55,40908.91,637,Self-Employed,1
50,55320.73,676,Salaried,0
40,60665.91,692,Self-Employed,0
32,71842.96,746,Self-Employed,0
50,62763.16,666,Self-Employed,0
42,52728.8,735,Salaried,0
34,61246.92,607,Self-Employed,0
50,59515.67,846,Self-Employed,0
64,81175.25,721,Salaried,0
19,57484.88,683,Unemployed,0
31,49253.75,774,Salaried,0
57,61744.14,731,Salaried,0
57,57977.28,778,Salaried,0
68,31435.1,684,Salaried,1
56,54765.22,794,Salaried,0
68,53488.93,644,Salaried,1
23,46841.92,735,Unemployed,0
23,70533.75,686,Salaried,0
20,43214.81,615,Salaried,1
24,61834.28,676,Salaried,0
68,52782.15,794,Salaried,0
25,56615.43,839,Self-Employed,0
59,61176.79,608,Salaried,0
69,35386.38,659,Self-Employed,1
32,57874.91,677,Salaried,0
64,89334.21,676,Salaried,0
46,31648.55,844,Salaried,0
50,54135.88,848,Salaried,0
69,71848.59,670,Salaried,0
47,59524.29,614,Salaried,0
56,65319.5,670,Salaried,0
44,19365.01,701,Self-Employed,1
53,63973.74,825,Salaried,0
46,43574.68,768,Salaried,0
55,59648.16,621,Salaried,0
50,54558.48,751,Salaried,0
54,89175.0,712,Self-Employed,0
44,63200.43,828,Salaried,0
50,53310.64,771,Salaried,0
21,32354.61,600,Unemployed,1
39,56817.2,609,Salaried,0
19,67348.43,834,Salaried,0
27,53791.72,807,Salaried,0
22,47415.15,709,Salaried,0
27,46411.2,799,Self-Employed,0
50,63027.12,783,Self-Employed,0
55,66390.82,712,Unemployed,0
30,75418.15,816,Salaried,0
48,40075.0,649,Salaried,1
64,62889.66,611,Self-Employed,0
53,53174.44,688,Salaried,0
62,53616.49,808,Salaried,0
41,61027.39,787,Salaried,0
69,61114.84,753,Salaried,0
32,62931.52,837,Salaried,0
46,39137.93,711,Self-Employed,1
25,43752.83,677,Self-Employed,0
22,77288.02,768,Salaried,0
46,51691.41,763,Salaried,0
64,59590.22,720,Salaried,0
21,70819.99,622,Self-Employed,0
29,61951.65,770,Salaried,0
62,63197.84,733,Self-Employed,0
19,68418.67,838,Salaried,0
44,23250.04,796,Salaried,1
48,47650.75,770,Salaried,0
68,62029.09,624,Self-Employed,0
68,75814.66,617,Salaried,0
53,55991.43,789,Salaried,0
53,42329.25,740,Salaried,0
43,42728.71,642,Self-Employed,1
60,68257.92,677,Self-Employed,0
44,51733.4,627,Salaried,1
22,54892.0,745,Self-Employed,0
37,64225.45,658,Salaried,0
28,11477.14,787,Salaried,1
27,85005.51,662,Salaried,0
57,44033.89,784,Salaried,0
55,58629.05,691,Self-Employed,0
23,29429.54,778,Self-Employed,0
25,48661.88,655,Salaried,1
40,73670.32,754,Salaried,0
64,26257.49,759,Self-Employed,1
43,71893.0,710,Self-Employed,0
63,50894.56,736,Salaried,0
60,62307.47,831,Unemployed,0
29,64862.87,823,Salaried,0
43,61621.32,811,Salaried,0
30,42025.74,819,Self-Employed,0
57,49531.76,824,Salaried,0
35,33076.66,667,Salaried,1
42,62376.94,645,Salaried,0
50,80530.83,848,Self-Employed,0
64,27633.39,825,Self-Employed,0
57,43575.31,839,Salaried,0
60,52273.37,666,Salaried,0
29,57600.12,753,Salaried,0
61,68187.64,735,Salaried,0
53,52717.0,605,Salaried,1
65,50260.62,807,Self-Employed,0
21,71546.96,623,Salaried,0
22,64929.93,775,Salaried,0
54,63084.67,830,Salaried,0
25,56687.74,693,Salaried,0
59,69747.28,772,Self-Employed,0
66,45155.36,612,Salaried,1
45,43109.59,796,Salaried,0
48,66191.51,624,Salaried,0
26,30624.46,747,Salaried,1
68,56382.69,717,Salaried,0
46,50251.62,681,Salaried,1
31,33913.68,710,Salaried,1
57,41030.99,681,Salaried,1
58,53365.36,665,Salaried,0
39,70509.45,801,Salaried,0
28,45205.63,846,Unemployed,0
40,73200.72,644,Salaried,0
18,55947.69,713,Salaried,0
63,74655.77,774,Salaried,0
54,45932.63,662,Salaried,1
38,54267.86,675,Self-Employed,0
43,60527.25,838,Salaried,0
63,52307.34,804,Self-Employed,0
53,69295.36,713,Salaried,0
40,21886.54,710,Salaried,1
18,91336.08,848,Self-Employed,0
68,67866.62,782,Salaried,0
57,52397.02,802,Salaried,0
32,46715.17,746,Salaried,0
38,42003.69,634,Self-Employed,1
64,64684.23,830,Salaried,0
26,69924.73,652,Self-Employed,0
26,52562.11,625,Salaried,0
27,71604.86,837,Self-Employed,0
69,41391.1,613,Salaried,1
43,38742.84,717,Self-Employed,1
58,82200.12,644,Salaried,0
52,63866.63,771,Self-Employed,0
69,75952.72,815,Salaried,0
42,42190.9,832,Salaried,0
43,41147.12,792,Salaried,0
28,49620.86,650,Salaried,0
55,42639.12,770,Salaried,0
19,65580.48,718,Self-Employed,0
24,43733.11,813,Unemployed,0
35,37424.95,750,Salaried,1
44,57130.23,783,Self-Employed,0
51,35650.21,845,Salaried,0
44,28008.04,618,Salaried,1
34,56998.86,681,Self-Employed,0
60,28761.7,675,Salaried,1
61,66629.19,782,Unemployed,0
68,34069.99,819,Salaried,0
41,21389.89,691,Salaried,1
42,50593.05,787,Salaried,0
24,57168.92,786,Salaried,0
69,62372.13,632,Salaried,0
23,57580.24,746,Unemployed,0
41,39110.31,627,Self-Employed,1
50,65695.92,722,Self-Employed,0
66,69402.08,779,Salaried,0
46,36913.57,725,Salaried,0
60,52284.91,776,Salaried,0
39,50883.4,636,Salaried,0
43,58305.72,753,Salaried,0
45,51926.14,698,Self-Employed,0
67,53981.83,697,Salaried,0
38,64627.23,726,Salaried,0
66,38292.2,826,Salaried,0
24,66060.6,767,Salaried,0
34,72116.99,679,Salaried,0
37,79512.02,637,Self-Employed,0
58,22849.49,676,Salaried,1
66,52256.48,725,Self-Employed,0
37,25523.49,686,Salaried,1
39,18474.04,653,Salaried,1
45,57161.4,749,Salaried,0
57,49012.72,615,Self-Employed,1
66,59497.76,627,Self-Employed,0
24,62291.92,839,Salaried,0
18,73718.44,762,Salaried,0
49,55808.81,787,Salaried,0
30,98850.33,772,Salaried,0
47,59596.15,645,Self-Employed,0
40,82637.19,671,Salaried,0
68,20007.43,835,Salaried,1
36,75246.09,782,Salaried,0
49,52288.59,846,Salaried,0
47,25774.79,813,Salaried,1
46,61308.18,684,Salaried,0
66,50455.67,625,Self-Employed,1
62,63700.8,831,Self-Employed,0
46,70166.15,684,Salaried,0
47,32662.75,752,Self-Employed,0
33,70223.78,832,Salaried,0
57,55097.19,664,Salaried,0
36,75292.62,733,Salaried,0
35,51922.78,750,Salaried,0
18,47943.87,714,Salaried,0
31,55405.81,663,Salaried,0
68,56527.91,686,Salaried,0
64,45058.23,770,Unemployed,0
67,47555.43,706,Salaried,0
19,36596.87,750,Salaried,0
45,48480.32,695,Salaried,0
66,65144.65,757,Salaried,0
67,52939.69,676,Salaried,0
47,70135.98,834,Self-Employed,0
55,52218.56,745,Salaried,0
68,33527.23,686,Salaried,1
21,63959.12,806,Salaried,0
18,44895.65,824,Salaried,0
25,51499.49,748,Salaried,0
46,73563.58,656,Salaried,0
56,37586.94,702,Salaried,0
20,57471.16,750,Salaried,0
49,54392.22,690,Salaried,0
27,65513.89,644,Unemployed,0
27,67827.3,771,Salaried,0
36,58957.59,809,Self-Employed,0
63,49594.38,687,Self-Employed,0
51,62100.59,714,Salaried,0
50,75034.84,646,Salaried,0
40,54590.65,767,Salaried,0
45,50991.16,778,Salaried,0
49,60822.55,769,Salaried,0
67,55580.91,734,Self-Employed,0
24,34934.36,649,Self-Employed,1
46,58589.96,775,Salaried,0
25,34798.56,683,Salaried,1
18,60617.21,690,Salaried,0
20,43042.86,733,Self-Employed,0
41,55553.12,690,Salaried,0
40,60858.91,736,Salaried,0
25,91808.55,844,Self-Employed,0
64,66141.25,708,Salaried,0
54,75471.98,656,Self-Employed,0
20,83076.22,630,Salaried,0
68,62338.84,620,Salaried,0
50,59285.35,689,Self-Employed,0
45,38999.18,639,Salaried,1
64,53250.55,711,Salaried,0
25,44153.68,644,Salaried,0
51,48984.12,676,Salaried,0
52,83059.95,776,Salaried,0
49,56719.32,686,Salaried,0
41,41861.51,747,Salaried,0
31,75618.0,700,Salaried,0
49,69329.13,845,Self-Employed,0
63,70114.8,716,Self-Employed,0
60,24908.05,691,Salaried,1
33,84230.06,744,Salaried,0
21,46622.28,627,Salaried,0
69,66669.32,768,Salaried,0
54,92857.0,793,Self-Employed,0
38,87329.99,624,Self-Employed,0
31,40336.57,657,Salaried,1
48,33332.24,841,Salaried,0
65,76455.2,640,Salaried,0
35,57130.84,733,Salaried,0
24,47486.78,674,Salaried,1
27,64318.28,848,Unemployed,0
24,52556.81,637,Self-Employed,0
50,65519.86,733,Salaried,0
40,56004.73,772,Salaried,0
38,65835.82,674,Self-Employed,0
36,41582.01,741,Salaried,0
65,76366.93,665,Salaried,0
36,65464.35,767,Salaried,0
53,64694.46,602,Self-Employed,0
46,38234.95,846,Salaried,0
35,80494.49,716,Salaried,0
19,54794.26,698,Self-Employed,0
18,65920.73,824,Self-Employed,0
64,50157.63,751,Self-Employed,0
22,58913.34,618,Salaried,0
37,59456.91,745,Salaried,0
28,12701.04,791,Self-Employed,1
59,63736.72,840,Self-Employed,0
19,84480.12,715,Salaried,0
20,63096.7,724,Salaried,0
40,40634.38,687,Self-Employed,1
29,64749.42,836,Self-Employed,0
37,70892.21,634,Salaried,0
22,62687.0,789,Salaried,0
54,53888.09,600,Salaried,0
55,51367.76,827,Salaried,0
47,51305.35,752,Salaried,0
26,65466.65,772,Salaried,0
51,33893.14,776,Salaried,0
61,49421.9,725,Salaried,0
52,78934.15,834,Salaried,0
69,79512.93,825,Self-Employed,0
39,32827.79,688,Salaried,1
61,38028.8,743,Salaried,0
41,50940.69,825,Self-Employed,0
34,68388.84,820,Salaried,0
27,27587.88,746,Unemployed,1
47,54177.87,750,Self-Employed,0
63,47887.31,810,Salaried,0
40,74889.47,624,Unemployed,0
49,29846.37,615,Salaried,1
34,56388.11,781,Salaried,0
67,49095.86,842,Salaried,0
68,77046.98,672,Salaried,0
34,63964.79,728,Self-Employed,0
31,46212.77,641,Salaried,1
26,67800.8,746,Salaried,0
57,49167.57,824,Salaried,0
19,69989.95,761,Salaried,0
62,51443.85,679,Salaried,0
42,70820.0,835,Salaried,0
56,61541.23,703,Self-Employed,0
26,103907.37,782,Salaried,0
39,54206.56,745,Self-Employed,0
60,60742.93,633,Salaried,0
63,47808.63,688,Self-Employed,0
21,55040.28,724,Self-Employed,0
43,14472.47,644,Salaried,1
46,61983.76,733,Salaried,0
62,75143.11,620,Self-Employed,0
51,60949.45,721,Salaried,0
40,35292.08,669,Unemployed,1
54,42973.19,695,Salaried,0
28,18547.12,704,Salaried,1
23,69683.86,647,Salaried,0
35,39902.3,834,Unemployed,0
38,54569.37,638,Salaried,0
59,52693.94,630,Self-Employed,1
53,77315.91,833,Self-Employed,0
58,56279.22,609,Salaried,0
55,67133.39,629,Salaried,0
51,63196.96,848,Self-Employed,0
34,75391.17,843,Salaried,0
54,51413.14,617,Self-Employed,1
42,83044.23,787,Salaried,0
55,25215.07,687,Salaried,1
29,67862.1,843,Self-Employed,0
40,42000.71,724,Salaried,0
59,47608.76,672,Salaried,1
39,63541.21,822,Salaried,0
38,63421.03,614,Salaried,0
44,64096.42,603,Salaried,0
48,34207.63,790,Self-Employed,0
23,76735.45,767,Salaried,0
44,41490.29,608,Salaried,1
57,43490.69,708,Salaried,0
51,64568.45,736,Salaried,0
29,50699.18,753,Salaried,0
62,59623.91,731,Self-Employed,0
24,22650.99,808,Self-Employed,1
27,59264.87,615,Salaried,0
62,58267.48,742,Salaried,0
34,47352.12,698,Salaried,0
43,23888.86,720,Salaried,1
38,51807.88,651,Salaried,0
45,54439.39,668,Salaried,0
63,49491.57,846,Salaried,0
19,27457.38,604,Salaried,1
60,78921.01,619,Salaried,0
18,45417.08,678,Unemployed,0
68,51666.93,745,Salaried,0
53,18857.89,710,Salaried,1
68,78922.83,601,Salaried,0
43,48001.75,692,Salaried,1
46,56476.94,612,Self-Employed,0
38,71811.06,603,Salaried,0
28,44855.44,769,Salaried,0
57,69448.67,708,Salaried,0
28,24080.12,673,Self-Employed,1
53,63264.8,788,Salaried,0
66,78583.63,694,Salaried,0
56,46293.75,704,Salaried,0
57,71783.22,607,Salaried,0
52,82508.84,666,Salaried,0
51,51177.37,839,Salaried,0
64,49937.08,790,Salaried,0
41,41525.59,709,Self-Employed,0
39,47354.05,608,Salaried,1
22,42769.6,821,Salaried,0
50,41513.33,716,Salaried,0
53,72982.53,610,Unemployed,0
64,43151.11,698,Salaried,1
37,58877.83,828,Self-Employed,0
36,55573.5,641,Salaried,0
52,77471.42,740,Salaried,0
69,47452.66,763,Salaried,0
60,60717.22,719,Salaried,0
34,66866.05,740,Self-Employed,0
62,77346.24,611,Unemployed,0
60,47233.7,636,Salaried,0
51,45731.61,673,Salaried,1
26,39073.28,847,Self-Employed,0
43,88544.49,672,Salaried,0
19,75767.09,651,Salaried,0
26,54366.98,798,Salaried,0
26,83971.59,729,Salaried,0
57,53472.05,845,Salaried,0
34,65866.16,655,Salaried,0
18,55152.58,659,Salaried,0
42,60967.08,622,Salaried,0
60,59376.42,702,Salaried,0
57,48625.22,639,Salaried,0
59,71387.48,663,Self-Employed,0
42,65739.29,830,Salaried,0
56,70415.42,684,Salaried,0
52,59803.41,750,Self-Employed,0
20,41401.45,756,Self-Employed,0
67,80640.79,805,Salaried,0
54,51061.66,817,Salaried,0
61,60461.01,778,Self-Employed,0
61,64530.72,796,Self-Employed,0
68,60361.33,846,Unemployed,0
47,68731.26,822,Self-Employed,0
55,71100.67,688,Salaried,0
51,51627.5,630,Salaried,0
29,79382.01,777,Salaried,0
36,50996.45,619,Salaried,0
54,60051.24,835,Salaried,0
61,49184.83,782,Salaried,0
66,44897.9,808,Salaried,0
34,70662.87,836,Self-Employed,0
27,101828.45,729,Salaried,0
66,49573.6,752,Salaried,0
64,73229.82,612,Salaried,0
29,50111.33,721,Salaried,0
33,54842.73,702,Self-Employed,0
41,81363.76,819,Salaried,0
36,38896.97,705,Unemployed,0
25,34927.61,718,Salaried,1
48,53692.02,669,Salaried,0
38,64954.84,794,Salaried,0
34,61955.0,785,Salaried,0
40,60410.19,698,Self-Employed,0
54,55511.98,681,Salaried,0
33,66798.1,674,Self-Employed,0
23,11294.91,717,Salaried,1
25,43737.92,683,Self-Employed,1
42,53595.81,791,Salaried,0
35,65568.02,668,Self-Employed,0
42,77346.48,810,Salaried,0
29,41723.5,813,Salaried,0
32,76856.18,658,Salaried,0
43,48211.57,787,Self-Employed,0
58,53051.35,810,Salaried,0
62,63721.49,725,Salaried,0
43,51951.46,710,Self-Employed,0
64,71651.76,661,Salaried,0
49,48930.94,743,Salaried,0
27,49156.98,727,Salaried,0
33,70779.7,815,Salaried,0
24,43553.13,704,Self-Employed,0
34,58733.94,667,Self-Employed,0
40,30092.76,614,Salaried,1
43,82294.59,816,Unemployed,0
38,73098.28,835,Salaried,0
39,96251.61,782,Salaried,0
24,75075.46,634,Salaried,0
31,38055.25,782,Salaried,0
32,65029.75,613,Salaried,0
24,41229.87,776,Self-Employed,0
26,78670.56,810,Self-Employed,0
68,38482.9,701,Salaried,1
65,37762.68,699,Salaried,1
25,30852.83,606,Self-Employed,1
67,47674.3,629,Self-Employed,0
40,44657.83,810,Self-Employed,0
46,36075.26,648,Salaried,1
35,84847.14,816,Self-Employed,0
48,62948.21,743,Salaried,0
47,61183.52,710,Salaried,0
69,78837.47,845,Salaried,0
56,58843.87,831,Salaried,0
52,43769.8,778,Salaried,0
35,29496.85,671,Salaried,1
59,42924.14,809,Salaried,0
56,77581.23,819,Self-Employed,0
34,36169.96,679,Salaried,1
31,60296.91,843,Salaried,0
48,70508.88,682,Salaried,0
41,59280.17,641,Unemployed,0
52,60984.75,616,Salaried,0
61,64834.06,790,Salaried,0
62,60689.21,772,Salaried,0
51,79136.11,804,Self-Employed,0
20,39395.62,606,Unemployed,1
54,58606.37,754,Salaried,0
60,27726.39,609,Salaried,1
57,23893.81,633,Self-Employed,1
43,53774.93,635,Salaried,0
40,63150.69,752,Salaried,0
61,79460.02,605,Salaried,0
56,91296.88,751,Salaried,0
32,74797.91,745,Salaried,0
66,65907.49,814,Salaried,0
21,57399.47,733,Salaried,0
46,32031.58,628,Self-Employed,1
39,52809.45,725,Salaried,0
42,74355.65,752,Self-Employed,0
30,68474.23,782,Salaried,0
35,35704.99,680,Salaried,1
50,64210.38,773,Salaried,0
33,62925.89,751,Self-Employed,0
62,60248.35,674,Self-Employed,0
59,54582.17,625,Salaried,0
61,64983.76,726,Self-Employed,0
19,65459.7,714,Salaried,0
52,45378.12,725,Unemployed,0
59,61825.21,825,Self-Employed,0
51,52159.07,627,Self-Employed,1
47,32691.49,730,Salaried,1
30,46575.89,674,Salaried,0
30,31544.65,765,Salaried,1
35,69701.4,788,Salaried,0
49,60338.34,677,Salaried,0
49,49667.64,778,Salaried,0
52,76307.82,689,Salaried,0
